train/n_updates,train/value_loss,train/learning_rate,train/policy_loss,train/entropy_loss,train/std,time/fps,time/iterations,train/explained_variance,train/reward,time/time_elapsed,time/total_timesteps
8299,3.5021722316741943,0.0007,69.76702117919922,-42.843658447265625,1.0614298582077026,103,8300,0.0,-1.1919031,399,41500
8399,0.39477187395095825,0.0007,-6.272932529449463,-42.82009506225586,1.0605401992797852,103,8400,5.960464477539063e-08,-1.4026177,404,42000
8499,26.6372127532959,0.0007,-212.74668884277344,-42.83361053466797,1.0607056617736816,103,8500,0.0,-0.24122107,409,42500
8599,38.1832389831543,0.0007,48.21497344970703,-42.81379699707031,1.0600346326828003,103,8600,0.0,-3.835304,413,43000
8699,0.9537284970283508,0.0007,2.800508499145508,-42.88609313964844,1.0629256963729858,103,8700,0.0,0.42422602,418,43500
8799,3.228591203689575,0.0007,-77.3825912475586,-42.94749069213867,1.0651990175247192,103,8800,-1.1920928955078125e-07,1.1890944,423,44000
8899,4.915851593017578,0.0007,78.96026611328125,-42.95283126831055,1.0655903816223145,104,8900,5.960464477539063e-08,-0.68389106,427,44500
8999,4.042238712310791,0.0007,16.164505004882812,-43.019981384277344,1.0679173469543457,104,9000,0.0,-0.44394338,432,45000
9099,0.7430940270423889,0.0007,-21.382362365722656,-43.074363708496094,1.069932222366333,104,9100,-1.1920928955078125e-07,6.438101,437,45500
9199,10.852496147155762,0.0007,120.9651107788086,-43.09498977661133,1.0705262422561646,104,9200,0.0,1.0236892,441,46000
9299,3.81480073928833,0.0007,-68.97063446044922,-43.08799743652344,1.0703810453414917,104,9300,-0.2899593114852905,0.93197626,446,46500
9399,9.062474250793457,0.0007,129.3413848876953,-43.10625457763672,1.0713297128677368,104,9400,-0.07729589939117432,0.41273853,450,47000
9499,13.183432579040527,0.0007,140.90536499023438,-43.14198303222656,1.0726743936538696,104,9500,0.0,0.08912667,455,47500
9599,5.138838291168213,0.0007,-89.48343658447266,-43.10029602050781,1.0708025693893433,104,9600,-1.1920928955078125e-07,0.13666596,460,48000
9699,7.654290676116943,0.0007,94.7859115600586,-43.12406539916992,1.0717411041259766,104,9700,0.0,0.38808212,465,48500
9799,59.42525863647461,0.0007,323.6600036621094,-43.13136291503906,1.0719741582870483,104,9800,0.0,6.8032737,469,49000
9899,0.7181148529052734,0.0007,30.071136474609375,-43.181880950927734,1.0739092826843262,104,9900,0.0,0.0035519307,474,49500
9999,1.0063613653182983,0.0007,28.147510528564453,-43.18157196044922,1.0742173194885254,104,10000,0.0,-0.43205363,479,50000
